id,Nom du terril,Adresse exacte,Espace protégé ?,Commune,Organisme gestionnaire,Adresse organisme,Contact principal,Email,Téléphone,Déjà contacté ?,Prochaine relance,Gare la plus proche,Commune de la gare,Distance à pieds,Notes,Photo du terril
248,"Terril n°182, Bonnepart",,UNESCO (à vérifier),Fresnes-sur-Escaut,,,,,,,,,,,,
249,"Terril n°183, Soult",,UNESCO (à vérifier),Fresnes-sur-Escaut,,,,,,,,,,,,
252,"Terril n°186, La Réussite",,UNESCO (à vérifier),La Sentinelle,,,,,,,,,,,,
253,"Terril n°187, Davy Sud",,UNESCO (à vérifier),La Sentinelle,,,,,,,,,,,,
254,"Terril n°187A, Davy Nord",,UNESCO (à vérifier),La Sentinelle,,,,,,,,,,,,
255,"Terril n°188, Saint Louis",,UNESCO (à vérifier),Charleroi,,,,,,,,,,,,
256,"Terril n°189, Bleuse Borne plat",,UNESCO (à vérifier),Anzin,,,,,,,,,,,,
257,"Terril n°189A, Bleuse Borne gros cône",,UNESCO (à vérifier),Anzin,,,,,,,,,,,,
258,"Terril n°189B, Bleuse Borne petit cône",,UNESCO (à vérifier),Anzin,,,,,,,,,,,,
259,"Terril n°190, Pont du Sarteau",,UNESCO (à vérifier),Fresnes-sur-Escaut,,,,,,,,,,,,
260,"Terril n°191, Vieux-Condé",,UNESCO (à vérifier),Vieux-Condé,,,,,,,,,,,,
261,"Terril n°192, Saint Léonard",,UNESCO (à vérifier),Vieux-Condé,,,,,,,,,,,,
262,"Terril n°193, Trou Martin",,UNESCO (à vérifier),Vieux-Condé,,,,,,,,,,,,
264,"Terril n°195, Ledoux Nouvelle Route",,UNESCO (à vérifier),Condé-sur-l'Escaut,,,,,,,,,,,,
265,"Terril n°195A, Ledoux Moulineaux",,UNESCO (à vérifier),Condé-sur-l'Escaut,,,,,,,,,,,,
266,"Terril n°196, Ledoux Lavoir",,UNESCO (à vérifier),Condé-sur-l'Escaut,,,,,,,,,,,,
267,"Terril n°197, Saint Pierre",,UNESCO (à vérifier),La Ricamarie (Loire),,,,,,,,,,,,
268,"Terril n°198, 1 de Crespin",,UNESCO (à vérifier),Quiévrechain,,,,,,,,,,,,
269,"Terril n°199, 2 de Crespin",,UNESCO (à vérifier),Quiévrechain,,,,,,,,,,,,
270,"Terril n°200, 2 de Crespin",,UNESCO (à vérifier),Quiévrechain,,,,,,,,,,,,
271,"Terril n°200A, 2 de Crespin plat",,UNESCO (à vérifier),Quiévrechain,,,,,,,,,,,,
272,"Terril n°201, Cuvinot",,UNESCO (à vérifier),Onnaing,,,,,,,,,,,,
273,"Terril n°202, Cuvinot Ouest",,UNESCO (à vérifier),Onnaing,,,,,,,,,,,,
274,"Terril n°203, Lières",,UNESCO (à vérifier),Auchy au bois,,,,,,,,,,,,
275,"Terril n°204, Ames",,UNESCO (à vérifier),Ames,AZRION,,,,,,,,,,,
276,"Terril n°205, 1 de Drocourt",,UNESCO (à vérifier),Hénin-Beaumont,,,,,,,,,,,,
277,"Terril n°206, Cavalier de Loison",,UNESCO (à vérifier),Loison-sous-Lens,,,,,,,,,,,,
278,"Terril n°207, Cavalier d'Harnes",,UNESCO (à vérifier),Harnes,,,,,,,,,,,,
279,"Terril n°208, Cavalier du Quart de Six Heures",,UNESCO (à vérifier),Fouquières-lès-Lens,,,,,,,,,,,,
280,"Terril n°209, Cavalier de Noyelles-Godault",,UNESCO (à vérifier),Noyelles-sous-Lens,,,,,,,,,,,,
281,"Terril n°210, 16 - 18 d'Oignies",,UNESCO (à vérifier),Oignies,,,,,,,,,,,,
282,"Terril n°210A, 16 - 18 d'Oignies",,UNESCO (à vérifier),Oignies,,,,,,,,,,,,
283,"Terril n°211, 3 d'Oignies",,UNESCO (à vérifier),Oignies,,,,,,,,,,,,
284,"Terril n°212, Cavalier du 10 de l'Escarpelle",,UNESCO (à vérifier),Leforest,,,,,,,,,,,,
285,"Terril n°212A, Cavalier du 10 de l'Escarpelle",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
286,"Terril n°212B, Cavalier du 10 de l'Escarpelle",,UNESCO (à vérifier),Auby,,,,,,,,,,,,
287,"Terril n°213, Cavalier de Roost-Warendin",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
288,"Terril n°213A, Cavalier de Roost-Warendin",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
289,"Terril n°213B, Cavalier de Roost-Warendin",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
290,"Terril n°213C, Cavalier de Roost-Warendin",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
291,"Terril n°213D, Cavalier de Roost-Warendin",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
292,"Terril n°214, Cavalier de Courcelles",,UNESCO (à vérifier),Souvret,,,,,,,,,,,,
293,"Terril n°215, 4 de Liévin",,UNESCO (à vérifier),Liévin,,,,,,,,,,,,
294,"Terril n°216, 8 de Liévin",,UNESCO (à vérifier),Avion,,,,,,,,,,,,
295,"Terril n°217, Archevêque",,UNESCO (à vérifier),Aniche,,,,,,,,,,,,
296,"Terril n°218, Bleuse Borne Mine Image",,UNESCO (à vérifier),Anzin,,,,,,,,,,,,
297,"Terril n°219, Vicoigne n°2",,UNESCO (à vérifier),Raismes,,,,,,,,,,,,
298,"Terril n°220, Cavalier Delloye Sud",,UNESCO (à vérifier),Lewarde,,,,,,,,,,,,
299,"Terril n°220A, Cavalier Delloye Nord",,UNESCO (à vérifier),Lewarde,,,,,,,,,,,,
300,"Terril n°221, 12 d'Oignies",,UNESCO (à vérifier),Carvin,,,,,,,,,,,,
301,"Terril n°222, Saint Roch",,UNESCO (à vérifier),Monchecourt,,,,,,,,,,,,
302,"Terril n°223, Ex Sablière",,UNESCO (à vérifier),Chocques,,,,,,,,,,,,
303,"Terril n°224, 12 de Béthune",,UNESCO (à vérifier),Annequin,,,,,,,,,,,,
304,"Terril n°225, Gare d'eau de Violaines",,UNESCO (à vérifier),Violaines,,,,,,,,,,,,
305,"Terril n°226, 1 de Vimy",,UNESCO (à vérifier),Vimy,,,,,,,,,,,,
306,"Terril n°226A, Cavalier du 1 de Vimy",,UNESCO (à vérifier),Vimy,,,,,,,,,,,,
307,"Terril n°227, 3 d'Azincourt",,UNESCO (à vérifier),Monchecourt,,,,,,,,,,,,
308,"Terril n°228, Ex Rivage de Béthune",,UNESCO (à vérifier),Annequin,,,,,,,,,,,,
309,"Terril n°229, Décharge Falande",,UNESCO (à vérifier),Haillicourt,,,,,,,,,,,,
310,"Terril n°230, Remblais Marais de Fouquières",,UNESCO (à vérifier),Fouquières-lez-Lens et Harnes,,,,,,,,,,,,
311,"Terril n°231, Cavalier Rivage de Béthune",,UNESCO (à vérifier),Annezin,,,,,,,,,,,,
312,"Terril n°232, Cavalier de Nœux",,UNESCO (à vérifier),Verquigneul,,,,,,,,,,,,
313,"Terril n°233, Cavalier du 3 de Lens",,UNESCO (à vérifier),Lens,,,,,,,,,,,,
314,"Terril n°234, Stock de Sables de Fond",,UNESCO (à vérifier),Auchel,,,,,,,,,,,,
315,"Terril n°235, Cavalier de Soult",,UNESCO (à vérifier),Fresnes-sur-Escaut,,,,,,,,,,,,
316,"Terril n°236, Cavalier de l'Écluse",,UNESCO (à vérifier),Soult,,,,,,,,,,,,
317,"Terril n°237, Cavalier Voie du 8 au 11",,UNESCO (à vérifier),Verquin,,,,,,,,,,,,
318,"Terril n°238, Cavalier Voie du 5 au 7",,UNESCO (à vérifier),Barlin,,,,,,,,,,,,
319,"Terril n°239, Cavalier du 10",,UNESCO (à vérifier),Billy Montigny,,,,,,,,,,,,
320,"Terril n°240, Cavalier du 23",,UNESCO (à vérifier),Aniche,,,,,,,,,,,,
321,"Terril n°241, Cavalier de la voie du 3",,UNESCO (à vérifier),Bruay-la-Buissière,,,,,,,,,,,,
322,"Terril n°242, Cavalier Voie Fosse Dechy",,UNESCO (à vérifier),"Lewarde, Guesnain et Dechy",,,,,,,,,,,,
323,"Terril n°244, Fléchinelle Ouest",,UNESCO (à vérifier),Enquin-les-Mines,,,,,,,,,,,,
324,"Terril n°245, Fléchinelle Est",,UNESCO (à vérifier),Enquin-les-Mines,,,,,,,,,,,,
326,"Terril n°247, Cavalier du 2 d'Oignies à A1",,UNESCO (à vérifier),Libercourt,,,,,,,,,,,,
327,"Terril n°248, Cavalier du 24 d'Estevelles",,UNESCO (à vérifier),"Estevelles, Pont-à-Vendin et Annay,",,,,,,,,,,,,
328,"Terril n°249, Cavalier du quai de vente",,UNESCO (à vérifier),Noyelles-lès-Vermelles et Mazingarbe,,,,,,,,,,,,
329,"Terril n°250, Cavalier de Bonnel à Barrois",,UNESCO (à vérifier),Lallaing,,,,,,,,,,,,
330,"Terril n°251, Cavalier du site de Rieulay",,UNESCO (à vérifier),Rieulay,,,,,,,,,,,,
331,"Terril n°252, Cavalier du siège Notre Dame",,UNESCO (à vérifier),Sin le Noble,,,,,,,,,,,,
332,"Terril n°253, Cavalier Barrois Lemay",,UNESCO (à vérifier),Rieulay,,,,,,,,,,,,
334,"Terril n°255, Cavalier Route de Bruille",,UNESCO (à vérifier),Divion,,,,,,,,,,,,
336,"Terril n°257, Sablière du Pinson",,UNESCO (à vérifier),Estrée-Blanche et Condé-sur-l’Escaut,,,,,,,,,,,,
337,"Terril n°258, Sablière du Bois des Dames",,UNESCO (à vérifier),Bruay-la-Buissière,,,,,,,,,,,,
338,"Terril n°259, Centrale électrique",,UNESCO (à vérifier),Gosnay,,,,,,,,,,,,
339,"Terril n°260, Lavoir de Fouquières",,UNESCO (à vérifier),Fouquières-lès-Lens,,,,,,,,,,,,
