id,Nom du terril,Adresse exacte,Espace protégé ?,Commune,Organisme gestionnaire,Adresse organisme,Contact principal,Email,Téléphone,Déjà contacté ?,Prochaine relance,Gare la plus proche,Commune de la gare,Distance à pieds,Notes,Photo du terril
60,"Terril n°47A, 9 de Béthune Est",,UNESCO (à vérifier),Annequin,,,,,,,,,,,,
61,"Terril n°47B, Cavalier du 9 d'Annequin",,UNESCO (à vérifier),Sailly-Labourse,,,,,,,,,,,,
62,"Terril n°48, 4 de Béthune Est",,UNESCO (à vérifier),Vermelles,,,,,,,,,,,,
63,"Terril n°48A, 4 de Béthune Ouest",,UNESCO (à vérifier),Vermelles,,,,,,,,,,,,
64,"Terril n°49, 3 de Béthune",,UNESCO (à vérifier),Mazingarbe et Vermelles,,,,,,,,,,,,
65,"Terril n°50, 7 de Béthune",,UNESCO (à vérifier),Mazingarbe,,,,,,,,,,,,
66,"Terril n°50A, Cavalier du 7 de Béthune",,UNESCO (à vérifier),Mazingarbe,,,,,,,,,,,,
67,"Terril n°51, 6 de Béthune Est",,UNESCO (à vérifier),Mazingarbe,,,,,,,,,,,,
68,"Terril n°52, 2 de Béthune Est",,UNESCO (à vérifier),Bully-les-Mines,,,,,,,,,,,,
69,"Terril n°52A, 2 de Béthune Ouest",,UNESCO (à vérifier),Bully-les-Mines,,,,,,,,,,,,
70,"Terril n°53, 1 de Béthune",,UNESCO (à vérifier),Bully-les-Mines,,,,,,,,,,,,
71,"Terril n°54, 11 de Béthune",,UNESCO (à vérifier),Liévin,,,,,,,,,,,,
72,"Terril n°55, 13 de Nœux",,UNESCO (à vérifier),Hersin-Coupigny,,,,,,,,,,,,
73,"Terril n°56, 8 de Nœux",,UNESCO (à vérifier),Verquin,,,,,,,,,,,,
74,"Terril n°57, 6 de Nœux Sud",,UNESCO (à vérifier),Labourse,,,,,,,,,,,,
75,"Terril n°57A, Cavalier du 6 de Nœux",,UNESCO (à vérifier),Labourse,,,,,,,,,,,,
76,"Terril n°58, Lavoir Mazingarbe Ouest",,UNESCO (à vérifier),Grenay et Mazingarbe,,,,,,,,,,,,
77,"Terril n°58A, Lavoir Mazingarbe Est",,UNESCO (à vérifier),Grenay et Mazingarbe,,,,,,,,,,,,
78,"Terril n°59, 5 de Béthune",,UNESCO (à vérifier),Loos-en-Gohelle,,,,,,,,,,,,
79,"Terril n°60, 2 de Nœux",,UNESCO (à vérifier),Hersin-Coupigny,,,,,,,,,,,,
80,"Terril n°61, Usines de Nœux",,UNESCO (à vérifier),Nœux-les-Mines,,,,,,,,,,,,
81,"Terril n°62, Bassin Centrale de Beuvry",,UNESCO (à vérifier),Verquigneul,,,,,,,,,,,,
82,"Terril n°62A, Remblais de Beuvry",,UNESCO (à vérifier),Verquigneul,,,,,,,,,,,,
83,"Terril n°62B, Cavalier de la Centrale de Beuvry",,UNESCO (à vérifier),Verquigneul,,,,,,,,,,,,
84,"Terril n°63, Décharge de Sailly",,UNESCO (à vérifier),Sailly-Labourse,,,,,,,,,,,,
85,"Terril n°63A, Cavalier du 9 d'Annequin",,UNESCO (à vérifier),Sailly-Labourse,,,,,,,,,,,,
86,"Terril n°64, Cendres de Vermelles",,UNESCO (à vérifier),Vermelles,,,,,,,,,,,,
